Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
"Cromarty, Marine Terrace, The Harbour",http://commons.wikimedia.org/wiki/Special:FilePath/Cromarty%20Harbour%201.jpg,Lirazelf,2019-09-20 16:41:28,2019,20,harbor,-4.03865,57.6829,N/A,Highland,Cromartyshire
"Edinburgh, Stockbridge, 1-1a Dean Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%20Stockbridge%2C%201-1a%20Dean%20Terrace.jpg,Fredinburgh,2016-09-10 10:19:15,2016,10,architectural structure,-3.20933,55.958,N/A,City of Edinburgh,Midlothian
"Edinburgh, 18 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2018%20George%20Square.jpg,Stinglehammer,2017-09-28 22:08:20,2017,28,architectural structure,-3.19069,55.9438,N/A,City of Edinburgh,Midlothian
"Edinburgh, 14 Oswald Road",http://commons.wikimedia.org/wiki/Special:FilePath/14%20Oswald%20Road.JPG,ToyHorse,2013-09-14 12:46:26,2013,14,architectural structure,-3.19377,55.9273,N/A,City of Edinburgh,Midlothian
Rosskeen Parish Church,http://commons.wikimedia.org/wiki/Special:FilePath/Rosskeen%20Parish%20Church%20%28geograph%202089620%29.jpg,File Upload Bot (Magnus Manske),2013-09-03 15:31:53,2013,3,church building,-4.20208,57.6939,N/A,Highland,Ross-shire
"Crow Road, Anniesland Court (three Storey Block)",http://commons.wikimedia.org/wiki/Special:FilePath/Anniesland%20Court%20from%20Crow%20Road.JPG,AlasdairW,2015-09-23 22:59:06,2015,23,architectural structure,-4.32497,55.8906,N/A,Glasgow City,Lanarkshire
"Pollokshaws Road, Pollok Park, Pollok House, Eastern Garden Pavilion",http://commons.wikimedia.org/wiki/Special:FilePath/Pollok%20House%2C%20Eastern%20Garden%20Pavilion%201.jpg,LornaMCampbell,2020-09-29 21:44:20,2020,29,architectural structure,-4.31784,55.8276,N/A,Glasgow City,Renfrewshire
"Tombae, Roman Catholic Church Of The Incarnation",http://commons.wikimedia.org/wiki/Special:FilePath/Church%20of%20the%20Incarnation%2C%20Tombae%20%28geograph%201888342%29.jpg,Plucas58,2017-09-27 23:59:03,2017,27,church building,-3.30121,57.315,N/A,Moray,Banffshire
"Edinburgh, 8-10 Gardner's Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%208-10%20Gardner%27s%20Crescent%20-%2020170911190711.jpg,Ammienoot,2017-09-13 19:49:42,2017,13,architectural structure,-3.21,55.9454,N/A,City of Edinburgh,Midlothian
"Edinburgh, 1 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%201%20Warriston%20Crescent%20-%2020230929174134.jpg,AlasdairW,2023-09-29 20:21:19,2023,29,tenement,-3.20022,55.9632,N/A,City of Edinburgh,Midlothian
"Lewis, Stornoway, Lews Castle, Cuddy Point Sea Wall And Slipway",http://commons.wikimedia.org/wiki/Special:FilePath/Cuddy%20Point%20Sea%20Wall%2C%20Stornoway%2C%20Isle%20of%20Lewis.jpg,LornaMCampbell,2017-09-28 23:03:25,2017,28,architectural structure,-6.39519,58.208,N/A,Outer Hebrides,Ross-shire
"Edinburgh, 2 Gardner's Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%202%20Gardner%27s%20Crescent%20-%2020170911190952.jpg,Ammienoot,2017-09-13 19:53:18,2017,13,architectural structure,-3.21043,55.9458,N/A,City of Edinburgh,Midlothian
